02:24:19,301 main INFO Loading fonts.
02:24:19,302 main INFO Loading sound files.
02:24:19,358 main INFO Loading textures.
02:24:19,378 main INFO Creating UI.
02:24:19,379 main DEBUG Showing main menu.
02:24:19,379 main DEBUG Clearing old menu screen.
02:24:19,379 main DEBUG No main menu to clear
02:24:21,470 main DEBUG Playing sound 'click'
02:24:22,714 main DEBUG Playing sound 'click'
02:24:22,870 main INFO Starting a new game.
02:24:22,871 main DEBUG Load screen.
02:24:22,879 main DEBUG Removing old particle system.
02:24:22,879 main DEBUG 'GameWindow' object has no attribute 'flame_emitter_group'
02:24:22,980 main DEBUG Removing obstacles from game grid.
02:24:23,158 main DEBUG generating new grid
02:24:23,162 main DEBUG removed 129 grid points for towers
02:24:23,162 main DEBUG removed 127 grid points for no walk
02:24:23,255 main DEBUG Pathfinding successful!
02:24:23,255 main DEBUG Steps: 23
02:24:26,577 main DEBUG Towers: 1
02:24:26,578 main DEBUG generating new grid
02:24:26,581 main DEBUG removed 130 grid points for towers
02:24:26,581 main DEBUG removed 127 grid points for no walk
02:24:26,667 main DEBUG Pathfinding successful!
02:24:26,667 main DEBUG Steps: 24
02:24:26,667 main DEBUG New path for grid: True
02:24:35,704 main DEBUG Spawning mob ID109: 35.0hp, 0.9spd
02:24:35,705 main DEBUG Spawning mob ID110: 180.0hp, 0.6spd
02:24:35,705 main DEBUG Spawning mob ID111: 80.0hp, 1.8spd
02:24:35,706 main DEBUG Spawning mob ID112: 300.0hp, 0.9spd
02:24:35,706 main DEBUG Spawning mob ID113: 300.0hp, 1.25spd
02:24:35,706 main DEBUG Spawning mob ID114: 400.0hp, 1.0spd
02:24:35,707 main DEBUG Spawning mob ID115: 120.0hp, 0.9spd
02:24:35,707 main DEBUG Spawning mob ID116: 900.0hp, 0.5spd
02:24:35,708 main DEBUG Spawning mob ID117: 800.0hp, 0.8spd
02:24:35,708 main DEBUG Spawning mob ID118: 900.0hp, 1.0spd
02:24:35,709 main DEBUG Spawning mob ID119: 2000.0hp, 0.5spd
02:24:35,836 main DEBUG Spawning mob ID120: 14.0hp, 1.0spd
02:24:35,837 main DEBUG Spawning mob ID121: 35.0hp, 0.9spd
02:24:35,838 main DEBUG Spawning mob ID122: 180.0hp, 0.6spd
02:24:35,838 main DEBUG Spawning mob ID123: 80.0hp, 1.8spd
02:24:35,839 main DEBUG Spawning mob ID124: 300.0hp, 0.9spd
02:24:35,839 main DEBUG Spawning mob ID125: 300.0hp, 1.25spd
02:24:35,839 main DEBUG Spawning mob ID126: 400.0hp, 1.0spd
02:24:35,840 main DEBUG Spawning mob ID127: 120.0hp, 0.9spd
02:24:35,840 main DEBUG Spawning mob ID128: 900.0hp, 0.5spd
02:24:35,841 main DEBUG Spawning mob ID129: 800.0hp, 0.8spd
02:24:35,841 main DEBUG Spawning mob ID130: 900.0hp, 1.0spd
02:24:35,842 main DEBUG Spawning mob ID131: 2000.0hp, 0.5spd
02:24:35,902 main DEBUG Playing sound 'bang1'
02:24:35,902 main DEBUG Playing sound 'bang1'
02:24:35,970 main DEBUG Spawning mob ID132: 14.0hp, 1.0spd
02:24:35,970 main DEBUG Spawning mob ID133: 35.0hp, 0.9spd
02:24:35,971 main DEBUG Spawning mob ID134: 180.0hp, 0.6spd
02:24:35,971 main DEBUG Spawning mob ID135: 80.0hp, 1.8spd
02:24:35,971 main DEBUG Spawning mob ID136: 300.0hp, 0.9spd
02:24:35,972 main DEBUG Spawning mob ID137: 300.0hp, 1.25spd
02:24:35,972 main DEBUG Spawning mob ID138: 400.0hp, 1.0spd
02:24:35,972 main DEBUG Spawning mob ID139: 120.0hp, 0.9spd
02:24:35,973 main DEBUG Spawning mob ID140: 900.0hp, 0.5spd
02:24:35,973 main DEBUG Spawning mob ID141: 800.0hp, 0.8spd
02:24:35,974 main DEBUG Spawning mob ID142: 900.0hp, 1.0spd
02:24:35,974 main DEBUG Spawning mob ID143: 2000.0hp, 0.5spd
02:24:36,76 main DEBUG Spawning mob ID144: 14.0hp, 1.0spd
02:24:36,77 main DEBUG Spawning mob ID145: 35.0hp, 0.9spd
02:24:36,77 main DEBUG Spawning mob ID146: 180.0hp, 0.6spd
02:24:36,78 main DEBUG Spawning mob ID147: 80.0hp, 1.8spd
02:24:36,79 main DEBUG Spawning mob ID148: 300.0hp, 0.9spd
02:24:36,80 main DEBUG Spawning mob ID149: 300.0hp, 1.25spd
02:24:36,80 main DEBUG Spawning mob ID150: 400.0hp, 1.0spd
02:24:36,81 main DEBUG Spawning mob ID151: 120.0hp, 0.9spd
02:24:36,81 main DEBUG Spawning mob ID152: 900.0hp, 0.5spd
02:24:36,81 main DEBUG Spawning mob ID153: 800.0hp, 0.8spd
02:24:36,82 main DEBUG Spawning mob ID154: 900.0hp, 1.0spd
02:24:36,82 main DEBUG Spawning mob ID155: 2000.0hp, 0.5spd
02:24:36,220 main DEBUG Spawning mob ID156: 14.0hp, 1.0spd
02:24:36,220 main DEBUG Spawning mob ID157: 35.0hp, 0.9spd
02:24:36,221 main DEBUG Spawning mob ID158: 180.0hp, 0.6spd
02:24:36,221 main DEBUG Spawning mob ID159: 80.0hp, 1.8spd
02:24:36,221 main DEBUG Spawning mob ID160: 300.0hp, 0.9spd
02:24:36,222 main DEBUG Spawning mob ID161: 300.0hp, 1.25spd
02:24:36,222 main DEBUG Spawning mob ID162: 400.0hp, 1.0spd
02:24:36,223 main DEBUG Spawning mob ID163: 120.0hp, 0.9spd
02:24:36,223 main DEBUG Spawning mob ID164: 900.0hp, 0.5spd
02:24:36,223 main DEBUG Spawning mob ID165: 800.0hp, 0.8spd
02:24:36,224 main DEBUG Spawning mob ID166: 900.0hp, 1.0spd
02:24:36,225 main DEBUG Spawning mob ID167: 2000.0hp, 0.5spd
02:24:36,351 main DEBUG Spawning mob ID168: 14.0hp, 1.0spd
02:24:36,352 main DEBUG Spawning mob ID169: 35.0hp, 0.9spd
02:24:36,352 main DEBUG Spawning mob ID170: 180.0hp, 0.6spd
02:24:36,353 main DEBUG Spawning mob ID171: 80.0hp, 1.8spd
02:24:36,353 main DEBUG Spawning mob ID172: 300.0hp, 0.9spd
02:24:36,354 main DEBUG Spawning mob ID173: 300.0hp, 1.25spd
02:24:36,354 main DEBUG Spawning mob ID174: 400.0hp, 1.0spd
02:24:36,354 main DEBUG Spawning mob ID175: 120.0hp, 0.9spd
02:24:36,355 main DEBUG Spawning mob ID176: 900.0hp, 0.5spd
02:24:36,355 main DEBUG Spawning mob ID177: 800.0hp, 0.8spd
02:24:36,355 main DEBUG Spawning mob ID178: 900.0hp, 1.0spd
02:24:36,356 main DEBUG Spawning mob ID179: 2000.0hp, 0.5spd
02:24:36,486 main DEBUG Spawning mob ID180: 14.0hp, 1.0spd
02:24:36,486 main DEBUG Spawning mob ID181: 35.0hp, 0.9spd
02:24:36,487 main DEBUG Spawning mob ID182: 180.0hp, 0.6spd
02:24:36,487 main DEBUG Spawning mob ID183: 80.0hp, 1.8spd
02:24:36,487 main DEBUG Spawning mob ID184: 300.0hp, 0.9spd
02:24:36,488 main DEBUG Spawning mob ID185: 300.0hp, 1.25spd
02:24:36,488 main DEBUG Spawning mob ID186: 400.0hp, 1.0spd
02:24:36,489 main DEBUG Spawning mob ID187: 120.0hp, 0.9spd
02:24:36,489 main DEBUG Spawning mob ID188: 900.0hp, 0.5spd
02:24:36,491 main DEBUG Spawning mob ID189: 800.0hp, 0.8spd
02:24:36,492 main DEBUG Spawning mob ID190: 900.0hp, 1.0spd
02:24:36,492 main DEBUG Spawning mob ID191: 2000.0hp, 0.5spd
02:24:36,742 main DEBUG Spawning mob ID192: 14.0hp, 1.0spd
02:24:36,743 main DEBUG Spawning mob ID193: 35.0hp, 0.9spd
02:24:36,744 main DEBUG Spawning mob ID194: 180.0hp, 0.6spd
02:24:36,745 main DEBUG Spawning mob ID195: 80.0hp, 1.8spd
02:24:36,745 main DEBUG Spawning mob ID196: 300.0hp, 0.9spd
02:24:36,746 main DEBUG Spawning mob ID197: 300.0hp, 1.25spd
02:24:36,746 main DEBUG Spawning mob ID198: 400.0hp, 1.0spd
02:24:36,747 main DEBUG Spawning mob ID199: 120.0hp, 0.9spd
02:24:36,747 main DEBUG Spawning mob ID200: 900.0hp, 0.5spd
02:24:36,747 main DEBUG Spawning mob ID201: 800.0hp, 0.8spd
02:24:36,748 main DEBUG Spawning mob ID202: 900.0hp, 1.0spd
02:24:36,748 main DEBUG Spawning mob ID203: 2000.0hp, 0.5spd
02:24:37,17 main DEBUG Spawning mob ID204: 14.0hp, 1.0spd
02:24:37,17 main DEBUG Spawning mob ID205: 35.0hp, 0.9spd
02:24:37,17 main DEBUG Spawning mob ID206: 180.0hp, 0.6spd
02:24:37,18 main DEBUG Spawning mob ID207: 80.0hp, 1.8spd
02:24:37,18 main DEBUG Spawning mob ID208: 300.0hp, 0.9spd
02:24:37,19 main DEBUG Spawning mob ID209: 300.0hp, 1.25spd
02:24:37,19 main DEBUG Spawning mob ID210: 400.0hp, 1.0spd
02:24:37,19 main DEBUG Spawning mob ID211: 120.0hp, 0.9spd
02:24:37,20 main DEBUG Spawning mob ID212: 900.0hp, 0.5spd
02:24:37,20 main DEBUG Spawning mob ID213: 800.0hp, 0.8spd
02:24:37,20 main DEBUG Spawning mob ID214: 900.0hp, 1.0spd
02:24:37,21 main DEBUG Spawning mob ID215: 2000.0hp, 0.5spd
02:24:37,81 main DEBUG Reached pos (1, 13), new target is (1, 13)
02:24:37,115 main DEBUG Reached pos (1, 13), new target is (2, 13)
02:24:37,264 main DEBUG Playing sound 'bang1'
02:24:37,264 main DEBUG Playing sound 'bang1'
02:24:37,273 main DEBUG Spawning mob ID216: 14.0hp, 1.0spd
02:24:37,274 main DEBUG Spawning mob ID217: 35.0hp, 0.9spd
02:24:37,275 main DEBUG Spawning mob ID218: 180.0hp, 0.6spd
02:24:37,275 main DEBUG Spawning mob ID219: 80.0hp, 1.8spd
02:24:37,276 main DEBUG Spawning mob ID220: 300.0hp, 0.9spd
02:24:37,277 main DEBUG Spawning mob ID221: 300.0hp, 1.25spd
02:24:37,277 main DEBUG Spawning mob ID222: 400.0hp, 1.0spd
02:24:37,277 main DEBUG Spawning mob ID223: 120.0hp, 0.9spd
02:24:37,278 main DEBUG Spawning mob ID224: 900.0hp, 0.5spd
02:24:37,278 main DEBUG Spawning mob ID225: 800.0hp, 0.8spd
02:24:37,279 main DEBUG Spawning mob ID226: 900.0hp, 1.0spd
02:24:37,279 main DEBUG Spawning mob ID227: 2000.0hp, 0.5spd
02:24:37,314 main DEBUG Reached pos (1, 13), new target is (1, 13)
02:24:37,364 main DEBUG Reached pos (1, 13), new target is (2, 13)
02:24:37,531 main DEBUG Spawning mob ID228: 14.0hp, 1.0spd
02:24:37,532 main DEBUG Spawning mob ID229: 35.0hp, 0.9spd
02:24:37,532 main DEBUG Spawning mob ID230: 180.0hp, 0.6spd
02:24:37,532 main DEBUG Spawning mob ID231: 80.0hp, 1.8spd
02:24:37,533 main DEBUG Spawning mob ID232: 300.0hp, 0.9spd
02:24:37,533 main DEBUG Spawning mob ID233: 300.0hp, 1.25spd
02:24:37,534 main DEBUG Spawning mob ID234: 400.0hp, 1.0spd
02:24:37,534 main DEBUG Spawning mob ID235: 120.0hp, 0.9spd
02:24:37,534 main DEBUG Spawning mob ID236: 900.0hp, 0.5spd
02:24:37,535 main DEBUG Spawning mob ID237: 800.0hp, 0.8spd
02:24:37,535 main DEBUG Spawning mob ID238: 900.0hp, 1.0spd
02:24:37,536 main DEBUG Spawning mob ID239: 2000.0hp, 0.5spd
02:24:37,630 main DEBUG Reached pos (1, 13), new target is (1, 13)
02:24:37,664 main DEBUG Reached pos (1, 13), new target is (2, 13)
02:24:37,788 main DEBUG Spawning mob ID240: 14.0hp, 1.0spd
02:24:37,789 main DEBUG Spawning mob ID241: 35.0hp, 0.9spd
02:24:37,790 main DEBUG Spawning mob ID242: 180.0hp, 0.6spd
02:24:37,791 main DEBUG Spawning mob ID243: 80.0hp, 1.8spd
02:24:37,791 main DEBUG Spawning mob ID244: 300.0hp, 0.9spd
02:24:37,792 main DEBUG Spawning mob ID245: 300.0hp, 1.25spd
02:24:37,792 main DEBUG Spawning mob ID246: 400.0hp, 1.0spd
02:24:37,793 main DEBUG Spawning mob ID247: 120.0hp, 0.9spd
02:24:37,793 main DEBUG Spawning mob ID248: 900.0hp, 0.5spd
02:24:37,793 main DEBUG Spawning mob ID249: 800.0hp, 0.8spd
02:24:37,794 main DEBUG Spawning mob ID250: 900.0hp, 1.0spd
02:24:37,794 main DEBUG Spawning mob ID251: 2000.0hp, 0.5spd
02:24:38,62 main DEBUG Spawning mob ID252: 14.0hp, 1.0spd
02:24:38,63 main DEBUG Spawning mob ID253: 35.0hp, 0.9spd
02:24:38,63 main DEBUG Spawning mob ID254: 180.0hp, 0.6spd
02:24:38,63 main DEBUG Spawning mob ID255: 80.0hp, 1.8spd
02:24:38,64 main DEBUG Spawning mob ID256: 300.0hp, 0.9spd
02:24:38,64 main DEBUG Spawning mob ID257: 300.0hp, 1.25spd
02:24:38,65 main DEBUG Spawning mob ID258: 400.0hp, 1.0spd
02:24:38,65 main DEBUG Spawning mob ID259: 120.0hp, 0.9spd
02:24:38,65 main DEBUG Spawning mob ID260: 900.0hp, 0.5spd
02:24:38,66 main DEBUG Spawning mob ID261: 800.0hp, 0.8spd
02:24:38,66 main DEBUG Spawning mob ID262: 900.0hp, 1.0spd
02:24:38,67 main DEBUG Spawning mob ID263: 2000.0hp, 0.5spd
02:24:38,296 main DEBUG Spawning mob ID264: 14.0hp, 1.0spd
02:24:38,296 main DEBUG Spawning mob ID265: 35.0hp, 0.9spd
02:24:38,297 main DEBUG Spawning mob ID266: 180.0hp, 0.6spd
02:24:38,297 main DEBUG Spawning mob ID267: 80.0hp, 1.8spd
02:24:38,297 main DEBUG Spawning mob ID268: 300.0hp, 0.9spd
02:24:38,298 main DEBUG Spawning mob ID269: 300.0hp, 1.25spd
02:24:38,298 main DEBUG Spawning mob ID270: 400.0hp, 1.0spd
02:24:38,299 main DEBUG Spawning mob ID271: 120.0hp, 0.9spd
02:24:38,299 main DEBUG Spawning mob ID272: 900.0hp, 0.5spd
02:24:38,299 main DEBUG Spawning mob ID273: 800.0hp, 0.8spd
02:24:38,300 main DEBUG Spawning mob ID274: 900.0hp, 1.0spd
02:24:38,300 main DEBUG Spawning mob ID275: 2000.0hp, 0.5spd
02:24:38,460 main DEBUG Reached pos (2, 13), new target is (3, 13)
02:24:38,562 main DEBUG Spawning mob ID276: 14.0hp, 1.0spd
02:24:38,562 main DEBUG Spawning mob ID277: 35.0hp, 0.9spd
02:24:38,563 main DEBUG Spawning mob ID278: 180.0hp, 0.6spd
02:24:38,563 main DEBUG Spawning mob ID279: 80.0hp, 1.8spd
02:24:38,564 main DEBUG Spawning mob ID280: 300.0hp, 0.9spd
02:24:38,564 main DEBUG Spawning mob ID281: 300.0hp, 1.25spd
02:24:38,564 main DEBUG Spawning mob ID282: 400.0hp, 1.0spd
02:24:38,565 main DEBUG Spawning mob ID283: 120.0hp, 0.9spd
02:24:38,565 main DEBUG Spawning mob ID284: 900.0hp, 0.5spd
02:24:38,566 main DEBUG Spawning mob ID285: 800.0hp, 0.8spd
02:24:38,566 main DEBUG Spawning mob ID286: 900.0hp, 1.0spd
02:24:38,567 main DEBUG Spawning mob ID287: 2000.0hp, 0.5spd
02:24:38,660 main DEBUG Playing sound 'bang1'
02:24:38,660 main DEBUG Playing sound 'bang1'
02:24:38,661 main DEBUG Reached pos (2, 13), new target is (3, 13)
02:24:38,828 main DEBUG Spawning mob ID288: 14.0hp, 1.0spd
02:24:38,828 main DEBUG Spawning mob ID289: 35.0hp, 0.9spd
02:24:38,828 main DEBUG Spawning mob ID290: 180.0hp, 0.6spd
02:24:38,829 main DEBUG Spawning mob ID291: 80.0hp, 1.8spd
02:24:38,829 main DEBUG Spawning mob ID292: 300.0hp, 0.9spd
02:24:38,830 main DEBUG Spawning mob ID293: 300.0hp, 1.25spd
02:24:38,830 main DEBUG Spawning mob ID294: 400.0hp, 1.0spd
02:24:38,830 main DEBUG Spawning mob ID295: 120.0hp, 0.9spd
02:24:38,831 main DEBUG Spawning mob ID296: 900.0hp, 0.5spd
02:24:38,831 main DEBUG Spawning mob ID297: 800.0hp, 0.8spd
02:24:38,832 main DEBUG Spawning mob ID298: 900.0hp, 1.0spd
02:24:38,832 main DEBUG Spawning mob ID299: 2000.0hp, 0.5spd
02:24:38,925 main DEBUG Reached pos (2, 13), new target is (3, 13)
02:24:39,94 main DEBUG Spawning mob ID300: 14.0hp, 1.0spd
02:24:39,94 main DEBUG Spawning mob ID301: 35.0hp, 0.9spd
02:24:39,95 main DEBUG Spawning mob ID302: 180.0hp, 0.6spd
02:24:39,95 main DEBUG Spawning mob ID303: 80.0hp, 1.8spd
02:24:39,96 main DEBUG Spawning mob ID304: 300.0hp, 0.9spd
02:24:39,96 main DEBUG Spawning mob ID305: 300.0hp, 1.25spd
02:24:39,96 main DEBUG Spawning mob ID306: 400.0hp, 1.0spd
02:24:39,97 main DEBUG Spawning mob ID307: 120.0hp, 0.9spd
02:24:39,97 main DEBUG Spawning mob ID308: 900.0hp, 0.5spd
02:24:39,97 main DEBUG Spawning mob ID309: 800.0hp, 0.8spd
02:24:39,99 main DEBUG Spawning mob ID310: 900.0hp, 1.0spd
02:24:39,100 main DEBUG Spawning mob ID311: 2000.0hp, 0.5spd
02:24:39,359 main DEBUG Spawning mob ID312: 14.0hp, 1.0spd
02:24:39,360 main DEBUG Spawning mob ID313: 35.0hp, 0.9spd
02:24:39,360 main DEBUG Spawning mob ID314: 180.0hp, 0.6spd
